year,month,debt_shock_6,debt_shock_12
2013,March,0.00744680901024708,0.00480980150902255
2013,April,0.00192699083265779,0.00497138241884443
2013,May,-0.00631918748683091,-0.00600172302290147
2013,June,-0.00386102518694997,-0.00201950262301764
2013,July,-0.00670532888824837,-0.00622541543789623
2013,August,-0.00299449155413356,-0.00271738500087437
2013,September,-0.00482495665827898,-0.00456334129128066
2013,October,0.0025981979127998,0.00467527689043834
2013,November,0.0125746221223366,0.0114931852464792
2013,December,0.000338202434857493,0.000822363211394617
2014,January,-0.00314575810523721,-0.0028601341225496
2014,February,0.000395434057459454,-0.000477140302287182
2014,March,0.0142230952770888,0.0137237589762051
2014,April,0.00179222422940484,0.00126863851479442
2014,May,0.00335419884756405,0.00590486327331874
2014,June,0.00367689111910607,0.00556083380268291
2014,July,-0.00526083636266605,-0.00250390060951489
