date,value
2016-09-14,744418000000.0
2016-09-21,744110000000.0
2016-09-28,680648000000.0
2016-10-05,730422000000.0
2016-10-12,697526000000.0
2016-10-19,697270000000.0
2016-10-26,688296000000.0
2016-11-02,716792000000.0
2016-11-09,666485000000.0
2016-11-16,746963000000.0
2016-11-23,661008000000.0
2016-11-30,727988000000.0
2016-12-07,717299000000.0
2016-12-14,724499000000.0
2016-12-21,673775000000.0
2016-12-28,642737000000.0
2017-01-04,714187000000.0
2017-01-11,680580000000.0
2017-01-18,726823000000.0
2017-01-25,667584000000.0
2017-02-01,705237000000.0
2017-02-08,699314000000.0
2017-02-15,704147000000.0
2017-02-22,696169000000.0
2017-03-01,737457000000.0
2017-03-08,735389000000.0
2017-03-15,771932000000.0
2017-03-22,726100000000.0
2017-03-29,691826000000.0
2017-04-05,729842000000.0
2017-04-12,711557000000.0
2017-04-19,745368000000.0
2017-04-26,729287000000.0
2017-05-03,761847000000.0
2017-05-10,709204000000.0
2017-05-17,755583000000.0
2017-05-24,763053000000.0
2017-05-31,751034000000.0
2017-06-07,784441000000.0
2017-06-14,735575000000.0
2017-06-21,761314000000.0
2017-06-28,749522000000.0
2017-07-05,724116000000.0
2017-07-12,700005000000.0
2017-07-19,693478000000.0
2017-07-26,710583000000.0
2017-08-02,699652000000.0
2017-08-09,717734000000.0
2017-08-16,740150000000.0
2017-08-23,717489000000.0
2017-08-30,737193000000.0
2017-09-06,741437000000.0
2017-09-13,734390000000.0
2017-09-20,728051000000.0
2017-09-27,728555000000.0
2017-10-04,754735000000.0
2017-10-11,730922000000.0
2017-10-18,718299000000.0
2017-10-25,725198000000.0
2017-11-01,784573000000.0
2017-11-08,767120000000.0
2017-11-15,787920000000.0
2017-11-22,737948000000.0
2017-11-29,792066000000.0
2017-12-06,732561000000.0
2017-12-13,718163000000.0
2017-12-20,688165000000.0
2017-12-27,663750000000.0
2018-01-03,723769000000.0
2018-01-10,710146000000.0
2018-01-17,704803000000.0
2018-01-24,703018000000.0
2018-01-31,732989000000.0
2018-02-07,712604000000.0
2018-02-14,694341000000.0
2018-02-21,732594000000.0
2018-02-28,751311000000.0
2018-03-07,748604000000.0
2018-03-14,721684000000.0
2018-03-21,728384000000.0
2018-03-28,676131000000.0
2018-04-04,717259000000.0
2018-04-11,659463000000.0
2018-04-18,659975000000.0
2018-04-25,669388000000.0
2018-05-02,704312000000.0
2018-05-09,718576000000.0
2018-05-16,719869000000.0
2018-05-23,696224000000.0
2018-05-30,689984000000.0
2018-06-06,734019000000.0
2018-06-13,723161000000.0
2018-06-20,720314000000.0
2018-06-27,684263000000.0
2018-07-04,692654000000.0
2018-07-11,692343000000.0
2018-07-18,738799000000.0
2018-07-25,726724000000.0
2018-08-01,721600000000.0
2018-08-08,681821000000.0
2018-08-15,703007000000.0
2018-08-22,688789000000.0
2018-08-29,687633000000.0
2018-09-05,711917000000.0
2018-09-12,726623000000.0
2018-09-19,710421000000.0
2018-09-26,701798000000.0
2018-10-03,725693000000.0
2018-10-10,729445000000.0
2018-10-17,708413000000.0
2018-10-24,730124000000.0
2018-10-31,726894000000.0
2018-11-07,729214000000.0
2018-11-14,697161000000.0
2018-11-21,741544000000.0
2018-11-28,771239000000.0
2018-12-05,787958000000.0
2018-12-12,792013000000.0
2018-12-19,833587000000.0
2018-12-26,755674000000.0
2019-01-02,826630000000.0
2019-01-09,822667000000.0
2019-01-16,833947000000.0
2019-01-23,829476000000.0
2019-01-30,786990000000.0
2019-02-06,774592000000.0
2019-02-13,757369000000.0
2019-02-20,793195000000.0
2019-02-27,825042000000.0
2019-03-06,850358000000.0
2019-03-13,799989000000.0
2019-03-20,819164000000.0
2019-03-27,799186000000.0
2019-04-03,842575000000.0
2019-04-10,863781000000.0
2019-04-17,832421000000.0
2019-04-24,872995000000.0
2019-05-01,897323000000.0
2019-05-08,860874000000.0
2019-05-15,864730000000.0
2019-05-22,839353000000.0
2019-05-29,863285000000.0
2019-06-05,870801000000.0
2019-06-12,837232000000.0
2019-06-19,847078000000.0
2019-06-26,792713000000.0
2019-07-03,817701000000.0
2019-07-10,821795000000.0
2019-07-17,827605000000.0
2019-07-24,821392000000.0
2019-07-31,887586000000.0
2019-08-07,871001000000.0
2019-08-14,854486000000.0
2019-08-21,852633000000.0
2019-08-28,873425000000.0
2019-09-04,901385000000.0
2019-09-11,880859000000.0
2019-09-18,936968000000.0
2019-09-25,917060000000.0
2019-10-02,890261000000.0
2019-10-09,867909000000.0
2019-10-16,899241000000.0
2019-10-23,836613000000.0
2019-10-30,797681000000.0
2019-11-06,853309000000.0
2019-11-13,832715000000.0
2019-11-20,849783000000.0
2019-11-27,806772000000.0
2019-12-04,878104000000.0
2019-12-11,828677000000.0
2019-12-18,854423000000.0
2019-12-25,793954000000.0
2020-01-01,898722000000.0
2020-01-08,831382000000.0
2020-01-15,850430000000.0
2020-01-22,813216000000.0
2020-01-29,797258000000.0
2020-02-05,873688000000.0
2020-02-12,832634000000.0
2020-02-19,870112000000.0
2020-02-26,872598000000.0
2020-03-04,998762000000.0
2020-03-11,982047000000.0
2020-03-18,1058635000000.0
2020-03-25,994176000000.0
2020-04-01,910992000000.0
2020-04-08,834578000000.0
2020-04-15,878612000000.0
2020-04-22,831380000000.0
2020-04-29,843941000000.0
2020-05-06,871475000000.0
2020-05-13,869543000000.0
2020-05-20,885697000000.0
2020-05-27,863217000000.0
2020-06-03,912765000000.0
2020-06-10,854972000000.0
2020-06-17,858497000000.0
2020-06-24,847711000000.0
2020-07-01,862465000000.0
2020-07-08,833683000000.0
2020-07-15,850940000000.0
2020-07-22,867414000000.0
2020-07-29,823284000000.0
2020-08-05,860582000000.0
2020-08-12,822996000000.0
2020-08-19,866865000000.0
2020-08-26,828635000000.0
2020-09-02,854318000000.0
2020-09-09,849504000000.0
2020-09-16,832776000000.0
2020-09-23,890351000000.0
2020-09-30,891092000000.0
2020-10-07,929258000000.0
2020-10-14,855225000000.0
2020-10-21,868362000000.0
2020-10-28,875720000000.0
2020-11-04,904237000000.0
2020-11-11,886050000000.0
2020-11-18,923119000000.0
2020-11-25,857382000000.0
2020-12-02,907955000000.0
2020-12-09,904071000000.0
2020-12-16,892087000000.0
2020-12-23,904088000000.0
2020-12-30,916586000000.0
2021-01-06,982632000000.0
