date,value
2016-10-05,1088985000000.0
2016-10-12,1080019000000.0
2016-10-19,1092355000000.0
2016-10-26,1061427000000.0
2016-11-02,1084258000000.0
2016-11-09,1050566000000.0
2016-11-16,1107507000000.0
2016-11-23,1046676000000.0
2016-11-30,1045797000000.0
2016-12-07,1092908000000.0
2016-12-14,1105811000000.0
2016-12-21,1023061000000.0
2016-12-28,972423000000.0
2017-01-04,1031428000000.0
2017-01-11,1044001000000.0
2017-01-18,1092628000000.0
2017-01-25,1066908000000.0
2017-02-01,1076530000000.0
2017-02-08,1091498000000.0
2017-02-15,1107001000000.0
2017-02-22,1088759000000.0
2017-03-01,1106784000000.0
2017-03-08,1120381000000.0
2017-03-15,1133288000000.0
2017-03-22,1084763000000.0
2017-03-29,1045683000000.0
2017-04-05,1093432000000.0
2017-04-12,1109343000000.0
2017-04-19,1139283000000.0
2017-04-26,1095758000000.0
2017-05-03,1129575000000.0
2017-05-10,1090294000000.0
2017-05-17,1145116000000.0
2017-05-24,1146675000000.0
2017-05-31,1117048000000.0
2017-06-07,1190237000000.0
2017-06-14,1144734000000.0
2017-06-21,1137938000000.0
2017-06-28,1098495000000.0
2017-07-05,1086410000000.0
2017-07-12,1080448000000.0
2017-07-19,1091020000000.0
2017-07-26,1075942000000.0
2017-08-02,1057004000000.0
2017-08-09,1090748000000.0
2017-08-16,1117383000000.0
2017-08-23,1078368000000.0
2017-08-30,1093737000000.0
2017-09-06,1126910000000.0
2017-09-13,1115115000000.0
2017-09-20,1106010000000.0
2017-09-27,1063078000000.0
2017-10-04,1103974000000.0
2017-10-11,1138708000000.0
2017-10-18,1115003000000.0
2017-10-25,1099626000000.0
2017-11-01,1171957000000.0
2017-11-08,1150728000000.0
2017-11-15,1160946000000.0
2017-11-22,1109344000000.0
2017-11-29,1152229000000.0
2017-12-06,1091680000000.0
2017-12-13,1086464000000.0
2017-12-20,1054123000000.0
2017-12-27,1022333000000.0
2018-01-03,1062347000000.0
2018-01-10,1080237000000.0
2018-01-17,1106585000000.0
2018-01-24,1074760000000.0
2018-01-31,1106021000000.0
2018-02-07,1088599000000.0
2018-02-14,1069941000000.0
2018-02-21,1090536000000.0
2018-02-28,1087544000000.0
2018-03-07,1099637000000.0
2018-03-14,1084258000000.0
2018-03-21,1086675000000.0
2018-03-28,1035752000000.0
2018-04-04,1094979000000.0
2018-04-11,1053411000000.0
2018-04-18,1038562000000.0
2018-04-25,1030126000000.0
2018-05-02,1082156000000.0
2018-05-09,1078119000000.0
2018-05-16,1091843000000.0
2018-05-23,1053016000000.0
2018-05-30,1064167000000.0
2018-06-06,1103620000000.0
2018-06-13,1074693000000.0
2018-06-20,1065240000000.0
2018-06-27,1018671000000.0
2018-07-04,1042058000000.0
2018-07-11,1032093000000.0
2018-07-18,1059162000000.0
2018-07-25,1043551000000.0
2018-08-01,1069562000000.0
2018-08-08,1023142000000.0
2018-08-15,1068346000000.0
2018-08-22,1043367000000.0
2018-08-29,1038607000000.0
2018-09-05,1072492000000.0
2018-09-12,1084098000000.0
2018-09-19,1056875000000.0
2018-09-26,1004035000000.0
2018-10-03,1054169000000.0
2018-10-10,1050943000000.0
2018-10-17,1037936000000.0
2018-10-24,1060285000000.0
2018-10-31,1100029000000.0
2018-11-07,1095841000000.0
2018-11-14,1069409000000.0
2018-11-21,1093377000000.0
2018-11-28,1134623000000.0
2018-12-05,1170173000000.0
2018-12-12,1189617000000.0
2018-12-19,1203000000000.0
2018-12-26,1132683000000.0
2019-01-02,1255841000000.0
2019-01-09,1236314000000.0
2019-01-16,1227492000000.0
2019-01-23,1211162000000.0
2019-01-30,1174320000000.0
2019-02-06,1150896000000.0
2019-02-13,1152014000000.0
2019-02-20,1181720000000.0
2019-02-27,1190640000000.0
2019-03-06,1214209000000.0
2019-03-13,1193403000000.0
2019-03-20,1208231000000.0
2019-03-27,1172681000000.0
2019-04-03,1230016000000.0
2019-04-10,1253107000000.0
2019-04-17,1238151000000.0
2019-04-24,1272836000000.0
2019-05-01,1329404000000.0
2019-05-08,1316753000000.0
2019-05-15,1308544000000.0
2019-05-22,1290787000000.0
2019-05-29,1330847000000.0
2019-06-05,1333591000000.0
2019-06-12,1307089000000.0
2019-06-19,1303716000000.0
2019-06-26,1253718000000.0
2019-07-03,1304475000000.0
2019-07-10,1287083000000.0
2019-07-17,1285608000000.0
2019-07-24,1315515000000.0
2019-07-31,1361693000000.0
2019-08-07,1339581000000.0
2019-08-14,1343553000000.0
2019-08-21,1336462000000.0
2019-08-28,1394988000000.0
2019-09-04,1416898000000.0
2019-09-11,1379905000000.0
2019-09-18,1416908000000.0
2019-09-25,1344528000000.0
2019-10-02,1324177000000.0
2019-10-09,1306020000000.0
2019-10-16,1387718000000.0
2019-10-23,1323200000000.0
2019-10-30,1265280000000.0
2019-11-06,1331456000000.0
2019-11-13,1304977000000.0
2019-11-20,1315238000000.0
2019-11-27,1258164000000.0
2019-12-04,1298280000000.0
2019-12-11,1242590000000.0
2019-12-18,1258298000000.0
2019-12-25,1198100000000.0
2020-01-01,1251678000000.0
2020-01-08,1257282000000.0
2020-01-15,1294453000000.0
2020-01-22,1276250000000.0
2020-01-29,1294415000000.0
2020-02-05,1349002000000.0
2020-02-12,1321254000000.0
2020-02-19,1344761000000.0
2020-02-26,1345562000000.0
2020-03-04,1538976000000.0
2020-03-11,1571431000000.0
2020-03-18,1532701000000.0
2020-03-25,1414621000000.0
2020-04-01,1363848000000.0
2020-04-08,1335916000000.0
2020-04-15,1377702000000.0
2020-04-22,1342570000000.0
2020-04-29,1349862000000.0
2020-05-06,1354911000000.0
2020-05-13,1365350000000.0
2020-05-20,1382443000000.0
2020-05-27,1394339000000.0
2020-06-03,1409364000000.0
2020-06-10,1394210000000.0
2020-06-17,1369841000000.0
2020-06-24,1356463000000.0
2020-07-01,1363858000000.0
2020-07-08,1365874000000.0
2020-07-15,1399676000000.0
2020-07-22,1413432000000.0
2020-07-29,1352888000000.0
2020-08-05,1405685000000.0
2020-08-12,1401230000000.0
2020-08-19,1423359000000.0
2020-08-26,1376391000000.0
2020-09-02,1417041000000.0
2020-09-09,1416434000000.0
2020-09-16,1395864000000.0
2020-09-23,1408415000000.0
2020-09-30,1424532000000.0
2020-10-07,1475011000000.0
