Date,SOFR,,,,
1/18/17,62,,,,
1/19/17,52,,,,
1/20/17,51,,,,
1/23/17,50,,,,
1/24/17,53,,,,
1/25/17,53,,,,
1/26/17,53,,,,
1/27/17,54,,,,
1/30/17,53,,,,
1/31/17,60,,,,
2/1/17,56,,,,
2/2/17,54,,,,
2/3/17,54,,,,
2/6/17,53,,,,
2/7/17,51,,,,
2/8/17,51,,,,
2/9/17,55,,,,
2/10/17,54,,,,
2/13/17,53,,,,
2/14/17,52,,,,
2/15/17,55,,,,
2/16/17,52,,,,
2/17/17,51,,,,
2/21/17,50,,,,
2/22/17,50,,,,
2/23/17,50,,,,
2/24/17,51,,,,
2/27/17,51,,,,
2/28/17,53,,,,
3/1/17,50,,,,
3/2/17,50,,,,
3/3/17,51,,,,
3/6/17,51,,,,
3/7/17,50,,,,
3/8/17,50,,,,
3/9/17,50,,,,
3/10/17,50,,,,
3/13/17,50,,,,
3/14/17,52,,,,
3/15/17,53,,,,
3/16/17,77,,,,
3/17/17,75,,,,
3/20/17,75,,,,
3/21/17,75,,,,
3/22/17,75,,,,
3/23/17,76,,,,
3/24/17,77,,,,
3/27/17,76,,,,
3/28/17,76,,,,
3/29/17,76,,,,
3/30/17,78,,,,
3/31/17,85,,,,
4/3/17,78,,,,
4/4/17,77,,,,
4/5/17,78,,,,
4/6/17,81,,,,
4/7/17,82,,,,
4/10/17,80,,,,
4/11/17,79,,,,
4/12/17,80,,,,
4/13/17,86,,,,
4/17/17,88,,,,
4/18/17,86,,,,
4/19/17,80,,,,
4/20/17,76,,,,
4/21/17,76,,,,
4/24/17,80,,,,
4/25/17,80,,,,
4/26/17,80,,,,
4/27/17,83,,,,
4/28/17,90,,,,
5/1/17,83,,,,
5/2/17,79,,,,
5/3/17,78,,,,
5/4/17,79,,,,
5/5/17,80,,,,
5/8/17,78,,,,
5/9/17,77,,,,
5/10/17,76,,,,
5/11/17,77,,,,
5/12/17,76,,,,
5/15/17,80,,,,
5/16/17,78,,,,
5/17/17,79,,,,
5/18/17,78,,,,
5/19/17,77,,,,
5/22/17,76,,,,
5/23/17,76,,,,
5/24/17,79,,,,
5/25/17,82,,,,
5/26/17,85,,,,
5/30/17,82,,,,
5/31/17,90,,,,
6/1/17,87,,,,
6/2/17,85,,,,
6/5/17,85,,,,
6/6/17,84,,,,
6/7/17,85,,,,
6/8/17,88,,,,
6/9/17,89,,,,
6/12/17,89,,,,
6/13/17,90,,,,
6/14/17,93,,,,
6/15/17,117,,,,
6/16/17,117,,,,
6/19/17,112,,,,
6/20/17,105,,,,
6/21/17,102,,,,
6/22/17,102,,,,
6/23/17,106,,,,
6/26/17,105,,,,
6/27/17,103,,,,
6/28/17,104,,,,
6/29/17,107,,,,
6/30/17,120,,,,
7/3/17,110,,,,
7/5/17,105,,,,
7/6/17,103,,,,
7/7/17,101,,,,
7/10/17,101,,,,
7/11/17,101,,,,
7/12/17,101,,,,
7/13/17,102,,,,
7/14/17,102,,,,
7/17/17,104,,,,
7/18/17,102,,,,
7/19/17,101,,,,
7/20/17,102,,,,
7/21/17,101,,,,
7/24/17,105,,,,
7/25/17,104,,,,
7/26/17,104,,,,
7/27/17,104,,,,
7/28/17,103,,,,
7/31/17,108,,,,
8/1/17,103,,,,
8/2/17,101,,,,
8/3/17,101,,,,
8/4/17,101,,,,
8/7/17,101,,,,
8/8/17,101,,,,
8/9/17,101,,,,
8/10/17,103,,,,
8/11/17,105,,,,
8/14/17,108,,,,
8/15/17,111,,,,
8/16/17,109,,,,
8/17/17,109,,,,
8/18/17,106,,,,
8/21/17,104,,,,
8/22/17,102,,,,
8/23/17,102,,,,
8/24/17,108,,,,
8/25/17,105,,,,
8/28/17,105,,,,
8/29/17,103,,,,
8/30/17,103,,,,
8/31/17,114,,,,
9/1/17,109,,,,
9/5/17,105,,,,
9/6/17,103,,,,
9/7/17,104,,,,
9/8/17,104,,,,
9/11/17,104,,,,
9/12/17,105,,,,
9/13/17,105,,,,
9/14/17,109,,,,
9/15/17,110,,,,
9/18/17,104,,,,
9/19/17,101,,,,
9/20/17,101,,,,
9/21/17,101,,,,
9/22/17,102,,,,
9/25/17,101,,,,
9/26/17,101,,,,
9/27/17,101,,,,
9/28/17,101,,,,
9/29/17,110,,,,
10/2/17,103,,,,
10/3/17,102,,,,
10/4/17,102,,,,
10/5/17,103,,,,
10/6/17,103,,,,
10/10/17,103,,,,
10/11/17,103,,,,
10/12/17,103,,,,
10/13/17,102,,,,
10/16/17,106,,,,
10/17/17,105,,,,
10/18/17,105,,,,
10/19/17,105,,,,
10/20/17,108,,,,
10/23/17,108,,,,
10/24/17,107,,,,
10/25/17,105,,,,
10/26/17,107,,,,
10/27/17,105,,,,
10/30/17,105,,,,
10/31/17,110,,,,
11/1/17,108,,,,
11/2/17,110,,,,
11/3/17,110,,,,
11/6/17,110,,,,
11/7/17,106,,,,
11/8/17,108,,,,
11/9/17,110,,,,
11/10/17,109,,,,
11/13/17,110,,,,
11/14/17,110,,,,
11/15/17,116,,,,
11/16/17,117,,,,
11/17/17,114,,,,
11/20/17,111,,,,
11/21/17,107,,,,
11/22/17,104,,,,
11/24/17,108,,,,
11/27/17,108,,,,
11/28/17,105,,,,
11/29/17,101,,,,
11/30/17,108,,,,
12/1/17,104,,,,
12/4/17,103,,,,
12/5/17,107,,,,
12/6/17,107,,,,
12/7/17,107,,,,
12/8/17,105,,,,
12/11/17,104,,,,
12/12/17,104,,,,
12/13/17,105,,,,
12/14/17,131,,,,
12/15/17,135,,,,
12/18/17,134,,,,
12/19/17,135,,,,
12/20/17,134,,,,
12/21/17,135,,,,
12/22/17,137,,,,
12/26/17,137,,,,
12/27/17,137,,,,
12/28/17,137,,,,
12/29/17,147,,,,
1/2/18,140,,,,
1/3/18,140,,,,
1/4/18,141,,,,
1/5/18,134,,,,
1/8/18,133,,,,
1/9/18,130,,,,
1/10/18,128,,,,
1/11/18,133,,,,
1/12/18,136,,,,
1/16/18,141,,,,
1/17/18,138,,,,
1/18/18,135,,,,
1/19/18,131,,,,
1/22/18,130,,,,
1/23/18,130,,,,
1/24/18,135,,,,
1/25/18,135,,,,
1/26/18,135,,,,
1/29/18,133,,,,
1/30/18,132,,,,
1/31/18,138,,,,
2/1/18,132,,,,
2/2/18,131,,,,
2/5/18,131,,,,
2/6/18,128,,,,
2/7/18,128,,,,
2/8/18,132,,,,
2/9/18,132,,,,
2/12/18,131,,,,
2/13/18,131,,,,
2/14/18,130,,,,
2/15/18,137,,,,
2/16/18,137,,,,
2/20/18,134,,,,
2/21/18,132,,,,
2/22/18,133,,,,
2/23/18,135,,,,
