"","Date","SOFR","US.Policy","D.Include","SOFRV","bills","non_bills","debt","Spread","Reserves"
"48",2015-07-22,0.07,0.25,1,6.3919171133926,27.9781700875415,29.9373670507132,30.0692472140528,-0.18,14.7809114028188
"49",2015-07-29,0.16,0.25,1,6.34388043412633,27.9887102542183,29.9373670507132,30.0705555246911,-0.09,14.7754690233997
"50",2015-08-05,0.19,0.25,1,6.4150969591716,27.9956787045506,29.9390378564507,30.0728884798303,-0.06,14.7754690233997
"51",2015-08-12,0.2,0.25,1,6.38687931936265,28.0115240311728,29.9390378564507,30.0748873824467,-0.05,14.7491550387251
"52",2015-08-19,0.17,0.25,1,6.44571981938558,28.0067275133461,29.9384074266386,30.0737287123921,-0.08,14.7491550387251
"53",2015-08-26,0.15,0.25,1,6.4425401664682,28.0032873148982,29.9384074266386,30.0732939581107,-0.1,14.8021218129391
"54",2015-09-02,0.18,0.25,1,6.48004456192665,28.0019078852544,29.9403083272685,30.0747815232082,-0.07,14.8021218129391
"55",2015-09-09,0.1,0.25,1,6.43454651878745,27.9970673000303,29.9403083272685,30.0741737499855,-0.15,14.8138862184508
"56",2015-09-16,0.13,0.25,1,6.4831073514572,27.9859095382975,29.9428876363275,30.0750422160083,-0.12,14.8138862184508
"57",2015-09-23,0.09,0.25,1,6.45676965557216,27.961060048799,29.9428876363275,30.071999268553,-0.16,14.7588688361374
"58",2015-09-30,0.23,0.25,0,6.29526600143965,27.9370519946848,29.9449559159445,30.0709450294818,-0.02,14.7588688361374
"59",2015-10-07,0.1,0.25,1,6.40687998606931,27.8903241170455,29.9449559159445,30.0655261820491,-0.15,14.7956797181627
"60",2015-10-14,0.14,0.25,1,6.44571981938558,27.8802543648796,29.9449559159445,30.0643874986671,-0.11,14.7956797181627
"61",2015-10-21,0.09,0.25,1,6.47850964220857,27.8501887744054,29.9475232756678,30.0633339418052,-0.16,14.7996595445578
"62",2015-10-28,0.06,0.25,1,6.4707995037826,27.8453566280252,29.9475232756678,30.0628066524819,-0.19,14.7996595445578
"63",2015-11-04,0.09,0.25,1,6.48463523563525,27.8957093800464,29.947156592328,30.0680890913046,-0.16,14.7897950657774
"64",2015-11-18,0.07,0.25,1,6.49375383985169,27.9639303344615,29.9499361321303,30.0785426104197,-0.18,14.7686626835235
"65",2015-11-25,0.09,0.25,1,6.34388043412633,28.0060419523168,29.9499361321303,30.0837197432793,-0.16,14.7686626835235
"66",2015-12-02,0.11,0.25,1,6.48004456192665,28.0404934131195,29.9520609443774,30.0899502194434,-0.14,14.740319308293
"67",2015-12-09,0.19,0.25,1,6.48768401848461,28.0411564476124,29.9520609443774,30.0900356461717,-0.06,14.740319308293
"68",2015-12-16,0.25,0.5,0,6.50279004591562,28.0344982600117,29.9546101466211,30.091402954774,-0.25,14.720565605272
"69",2015-12-23,0.28,0.5,1,6.41836493593621,28.0344976230798,29.9546101466211,30.0914028733429,-0.22,14.720565605272
