"","Date","SOFR","US.Policy","D.Include","SOFRV","bills","non_bills","debt","Spread"
"102",2015-01-22,0.06,0.25,1,6.3750248198281,27.9767542494047,29.9222885339906,30.0558669174005,-0.19
"103",2015-01-23,0.07,0.25,1,6.33682573114644,27.9767542494047,29.9222885339906,30.0558669174005,-0.18
"104",2015-01-26,0.07,0.25,1,6.24997524225948,27.9767542494047,29.9222885339906,30.0558669174005,-0.18
"105",2015-01-27,0.06,0.25,1,6.22455842927536,27.9767542494047,29.9222885339906,30.0558669174005,-0.19
"106",2015-01-28,0.05,0.25,1,6.36990098282823,27.9767542494047,29.9222885339906,30.0558669174005,-0.2
"107",2015-01-29,0.05,0.25,0,6.44094654063292,27.976754869634,29.9222885339906,30.0558669949547,-0.2
"108",2015-01-30,0.08,0.25,0,6.33150184989369,27.976754869634,29.9222885339906,30.0558669949547,-0.17
"109",2015-02-02,0.09,0.25,0,6.42971947803914,27.976754869634,29.9235333350979,30.0569562293954,-0.16
"110",2015-02-03,0.09,0.25,1,6.41836493593621,27.976754869634,29.9235333350979,30.0569562293954,-0.16
"111",2015-02-04,0.08,0.25,1,6.38350663488401,27.976754869634,29.9235333350979,30.0569562293954,-0.17
"112",2015-02-05,0.1,0.25,1,6.40191719672719,27.9908100306139,29.9235333350979,30.0587226244584,-0.15
"113",2015-02-06,0.12,0.25,1,6.39859493453521,27.9908100306139,29.9235333350979,30.0587226244584,-0.13
"114",2015-02-09,0.1,0.25,1,6.38687931936265,27.9908100306139,29.9235333350979,30.0587226244584,-0.15
"115",2015-02-10,0.09,0.25,1,6.3750248198281,27.9908100306139,29.9235333350979,30.0587226244584,-0.16
"116",2015-02-11,0.08,0.25,1,6.40687998606931,27.9908100306139,29.9235333350979,30.0587226244584,-0.17
"117",2015-02-12,0.11,0.25,1,6.38687931936265,27.9998406601732,29.9235333350979,30.059869056941,-0.14
"118",2015-02-13,0.1,0.25,1,6.3750248198281,27.9998406601732,29.9235333350979,30.059869056941,-0.15
"119",2015-02-17,0.08,0.25,1,6.41345895716736,27.9998406601732,29.9216345646993,30.0582124860585,-0.17
"120",2015-02-18,0.07,0.25,1,6.41345895716736,27.9998406601732,29.9216345646993,30.0582124860585,-0.18
"121",2015-02-19,0.06,0.25,1,6.39024066706535,28.0087900597476,29.9216345646993,30.0593594508222,-0.19
"122",2015-02-20,0.05,0.25,1,6.3297209055227,28.0087900597476,29.9216345646993,30.0593594508222,-0.2
"123",2015-02-23,0.05,0.25,1,6.3818160174061,28.0087900597476,29.9216345646993,30.0593594508222,-0.2
"124",2015-02-24,0.04,0.25,1,6.34388043412633,28.0087900597476,29.9216345646993,30.0593594508222,-0.21
"125",2015-02-25,0.04,0.25,1,6.37161184723186,28.0087900597476,29.9216345646993,30.0593594508222,-0.21
"126",2015-02-26,0.05,0.25,0,6.38687931936265,28.0183384769706,29.9216345646993,30.0605930883431,-0.2
"127",2015-02-27,0.08,0.25,0,6.3578422665081,28.0183384769706,29.9216345646993,30.0605930883431,-0.17
"128",2015-03-02,0.09,0.25,0,6.44094654063292,28.0183384769706,29.9228450206754,30.0616465874411,-0.16
"129",2015-03-03,0.07,0.25,1,6.40025744530882,28.0183384769706,29.9228450206754,30.0616465874411,-0.18
"130",2015-03-04,0.08,0.25,1,6.35957386867238,28.0183384769706,29.9228450206754,30.0616465874411,-0.17
"131",2015-03-05,0.1,0.25,1,6.4118182677099,28.0142560782964,29.9228450206754,30.0611184505854,-0.15
"132",2015-03-06,0.1,0.25,1,6.40357419793482,28.0142560782964,29.9228450206754,30.0611184505854,-0.15
"133",2015-03-09,0.08,0.25,1,6.41836493593621,28.0142560782964,29.9228450206754,30.0611184505854,-0.17
"134",2015-03-10,0.08,0.25,1,6.41836493593621,28.0142560782964,29.9228450206754,30.0611184505854,-0.17
"135",2015-03-11,0.07,0.25,1,6.42648845745769,28.0142560782964,29.9228450206754,30.0611184505854,-0.18
"136",2015-03-12,0.08,0.25,1,6.3919171133926,28.017658936518,29.9228450206754,30.0615585455335,-0.17
"137",2015-03-13,0.1,0.25,1,6.4377516497364,28.017658936518,29.9228450206754,30.0615585455335,-0.15
"138",2015-03-16,0.13,0.25,1,6.4281052726846,28.017658936518,29.9252456796828,30.0636485895511,-0.12
"139",2015-03-17,0.15,0.25,1,6.41673228251233,28.017658936518,29.9252456796828,30.0636485895511,-0.1
"140",2015-03-18,0.12,0.25,1,6.40191719672719,28.017658936518,29.9252456796828,30.0636485895511,-0.13
"141",2015-03-19,0.1,0.25,1,6.40522845803084,28.0210501938239,29.9252456796828,30.0640875647766,-0.15
"142",2015-03-20,0.08,0.25,1,6.37331978957701,28.0210501938239,29.9252456796828,30.0640875647766,-0.17
"143",2015-03-23,0.08,0.25,1,6.38012253689976,28.0210501938239,29.9252456796828,30.0640875647766,-0.17
"144",2015-03-24,0.08,0.25,1,6.3919171133926,28.0210501938239,29.9252456796828,30.0640875647766,-0.17
"145",2015-03-25,0.12,0.25,1,6.38519439899773,28.0210501938239,29.9252456796828,30.0640875647766,-0.13
